unique_key,case_key,source_id,display_name,pdf_sha256,pdf_path,offence_family,strata_tags,gold_tier,pool,route,skip_reason,backend_case_id,match_hint
sha:0b966f3d6296a8359519de929cd2dd558a4b6bdd47b17f6924d0c11b27f4c69f,ARDEN-MONSTER-0001,CB-MONSTER-2026-0001,Arden Vale,0b966f3d6296a8359519de929cd2dd558a4b6bdd47b17f6924d0c11b27f4c69f,C:\Users\gduff\Downloads\CaseBrain_Monster_and_Charge_Coverage_2026\casebrain_monster_charge\Monster_Bundle_Load_Pack\pdfs\CB-MONSTER-2026-0001.pdf,robbery,canary|historically_problematic|monster_bundle|cctv_master|identification,GOLD_A,criminal,BACKEND_LIVE,,99090c69-5d78-41e3-946d-119b4bc335ba,Case 5
key:CASE-01,CASE-01,demo-audit-01-phone-harassment,phone harassment / attribution,,artifacts/evidence-state-audit-local/cases/demo-audit-01-phone-harassment/bundle-text.md,phone harassment / attribution,gold_manual_v1|phone_harassment_/_attribution|opposite_pair_candidate,GOLD_B,criminal,SKIP,missing_pdf_sha256,,
key:CASE-02,CASE-02,demo-audit-03-bwv-custody,BWV referred-only,,artifacts/evidence-state-audit-local/cases/demo-audit-03-bwv-custody/bundle-text.md,BWV referred-only,gold_manual_v1|BWV_referred-only|opposite_pair_candidate,GOLD_B,criminal,SKIP,missing_pdf_sha256,,
key:CASE-03,CASE-03,demo-audit-27-custody-pace-missing,custody extract vs full custody,,artifacts/evidence-state-audit-local/cases/demo-audit-27-custody-pace-missing/bundle-text.md,custody extract vs full custody,gold_manual_v1|custody_extract_vs_full_custody|opposite_pair_candidate,GOLD_B,criminal,SKIP,missing_pdf_sha256,,
key:CASE-04,CASE-04,demo-audit-02-cctv-stills,CCTV stills vs master footage,,artifacts/evidence-state-audit-local/cases/demo-audit-02-cctv-stills/bundle-text.md,CCTV stills vs master footage,gold_manual_v1|CCTV_stills_vs_master_footage|opposite_pair_candidate,GOLD_B,criminal,SKIP,missing_pdf_sha256,,
key:CASE-05,CASE-05,demo-audit-05-encro-attribution,Encro handle attribution,,artifacts/evidence-state-audit-local/cases/demo-audit-05-encro-attribution/bundle-text.md,Encro handle attribution,gold_manual_v1|Encro_handle_attribution|opposite_pair_candidate,GOLD_B,criminal,SKIP,missing_pdf_sha256,,
key:CASE-06,CASE-06,demo-audit-04-co-def-interview,mixed-defendant material,,artifacts/evidence-state-audit-local/cases/demo-audit-04-co-def-interview/bundle-text.md,mixed-defendant material,gold_manual_v1|mixed-defendant_material|opposite_pair_candidate,GOLD_B,criminal,SKIP,missing_pdf_sha256,,
key:CASE-07,CASE-07,demo-audit-44-bad-redaction,bad redaction,,catalog:demo-audit-44-bad-redaction (materialized from v9_catalog),bad redaction,gold_manual_v1|bad_redaction|opposite_pair_candidate,GOLD_B,criminal,SKIP,missing_pdf_sha256,,
key:CASE-08,CASE-08,demo-audit-69-charge-mg5-hearing,charge mismatch,,catalog:demo-audit-69-charge-mg5-hearing (materialized from v9_catalog),charge mismatch,gold_manual_v1|charge_mismatch|opposite_pair_candidate,GOLD_B,criminal,SKIP,missing_pdf_sha256,,
key:CASE-09,CASE-09,demo-audit-32-restraining-order-breach,domestic order / restraining order breach,,catalog:demo-audit-32-restraining-order-breach (materialized from v9_catalog),domestic order / restraining order breach,gold_manual_v1|domestic_order_/_restraining_order_breach|opposite_pair_candidate,GOLD_B,criminal,SKIP,missing_pdf_sha256,,
key:CASE-10,CASE-10,demo-audit-41-translated-messages,translated messages,,catalog:demo-audit-41-translated-messages (materialized from v9_catalog),translated messages,gold_manual_v1|translated_messages|opposite_pair_candidate,GOLD_B,criminal,SKIP,missing_pdf_sha256,,
key:CASE-11,CASE-11,demo-audit-22-youth-interview,youth / appropriate adult / intermediary,,artifacts/evidence-state-audit-local/cases/demo-audit-22-youth-interview/bundle-text.md,youth / appropriate adult / intermediary,gold_manual_v1|youth_/_appropriate_adult_/_intermediary|opposite_pair_candidate,GOLD_B,criminal,SKIP,missing_pdf_sha256,,
key:CASE-12,CASE-12,demo-audit-21-historic-sexual-abe,ABE / first account / third-party records,,artifacts/evidence-state-audit-local/cases/demo-audit-21-historic-sexual-abe/bundle-text.md,ABE / first account / third-party records,gold_manual_v1|ABE_/_first_account_/_third-party_records|opposite_pair_candidate,GOLD_B,criminal,SKIP,missing_pdf_sha256,,
key:CASE-13,CASE-13,demo-audit-50-lab-continuity-conflict,drugs lab / continuity,,catalog:demo-audit-50-lab-continuity-conflict (materialized from v9_catalog),drugs lab / continuity,gold_manual_v1|drugs_lab_/_continuity|opposite_pair_candidate,GOLD_B,criminal,SKIP,missing_pdf_sha256,,
key:CASE-14,CASE-14,demo-audit-16-fraud-bank-statements,fraud bank/device attribution,,artifacts/evidence-state-audit-local/cases/demo-audit-16-fraud-bank-statements/bundle-text.md,fraud bank/device attribution,gold_manual_v1|fraud_bank/device_attribution|opposite_pair_candidate,GOLD_B,criminal,SKIP,missing_pdf_sha256,,
key:CASE-15,CASE-15,demo-audit-18-motoring-sjp-thin,motoring SJP thin evidence,,artifacts/evidence-state-audit-local/cases/demo-audit-18-motoring-sjp-thin/bundle-text.md,motoring SJP thin evidence,gold_manual_v1|motoring_SJP_thin_evidence|opposite_pair_candidate,GOLD_B,criminal,SKIP,missing_pdf_sha256,,
key:CASE-16,CASE-16,demo-audit-49-anpr-trap,ANPR / vehicle ID,,catalog:demo-audit-49-anpr-trap (materialized from v9_catalog),ANPR / vehicle ID,gold_manual_v1|ANPR_/_vehicle_ID|opposite_pair_candidate,GOLD_B,criminal,SKIP,missing_pdf_sha256,,
key:CASE-17,CASE-17,demo-audit-61-medical-triage-partial,medical injury report missing,,catalog:demo-audit-61-medical-triage-partial (materialized from v9_catalog),medical injury report missing,gold_manual_v1|medical_injury_report_missing|opposite_pair_candidate,GOLD_B,criminal,SKIP,missing_pdf_sha256,,
key:CASE-18,CASE-18,demo-audit-46-prison-calls,prison calls / call logs,,catalog:demo-audit-46-prison-calls (materialized from v9_catalog),prison calls / call logs,gold_manual_v1|prison_calls_/_call_logs|opposite_pair_candidate,GOLD_B,criminal,SKIP,missing_pdf_sha256,,
key:CASE-19,CASE-19,demo-audit-47-social-media-handles,social handles / subscriber gap,,catalog:demo-audit-47-social-media-handles (materialized from v9_catalog),social handles / subscriber gap,gold_manual_v1|social_handles_/_subscriber_gap|opposite_pair_candidate,GOLD_B,criminal,SKIP,missing_pdf_sha256,,
key:CASE-20,CASE-20,demo-audit-30-layout-hearing-date,OCR/date/court mismatch,,artifacts/evidence-state-audit-local/cases/demo-audit-30-layout-hearing-date/bundle-text.md,OCR/date/court mismatch,gold_manual_v1|OCR/date/court_mismatch|opposite_pair_candidate,GOLD_B,criminal,SKIP,missing_pdf_sha256,,
key:CAT-cb-found-2003-nguyen,CAT-cb-found-2003-nguyen,cb-found-2003-nguyen,cb-found-2003-nguyen,,artifacts/evidence-state-audit-local/cases/cb-found-2003-nguyen/truth-key.json,violence,corpus_catalog|evidence_state_audit|bundle_fidelity_gold|materialised=true,GOLD_C,criminal,SKIP,missing_pdf_sha256,,
key:CAT-cb-found-2004-clarke,CAT-cb-found-2004-clarke,cb-found-2004-clarke,cb-found-2004-clarke,,artifacts/evidence-state-audit-local/cases/cb-found-2004-clarke/truth-key.json,motoring,corpus_catalog|evidence_state_audit|bundle_fidelity_gold|materialised=true,GOLD_C,criminal,SKIP,missing_pdf_sha256,,
key:CAT-cb-fresh-001-taylor-brookes,CAT-cb-fresh-001-taylor-brookes,cb-fresh-001-taylor-brookes,cb-fresh-001-taylor-brookes,,artifacts/evidence-state-audit-local/cases/cb-fresh-001-taylor-brookes/truth-key.json,harassment_digital,corpus_catalog|evidence_state_audit|bundle_fidelity_gold|materialised=true,GOLD_C,criminal,SKIP,missing_pdf_sha256,,
key:CAT-crown-court-patterson,CAT-crown-court-patterson,crown-court-patterson,crown-court-patterson,,artifacts/evidence-state-audit-local/cases/crown-court-patterson/truth-key.json,violence,corpus_catalog|evidence_state_audit|bundle_fidelity_gold|materialised=true,GOLD_C,criminal,SKIP,missing_pdf_sha256,,
key:CAT-demo-audit-01-phone-harassment,CAT-demo-audit-01-phone-harassment,demo-audit-01-phone-harassment,demo-audit-01-phone-harassment,,artifacts/evidence-state-audit-local/cases/demo-audit-01-phone-harassment/truth-key.json,harassment_digital,corpus_catalog|evidence_state_audit|demo_audit_template|materialised=true,NO_GOLD,criminal,SKIP,missing_pdf_sha256,,
key:CAT-demo-audit-02-cctv-stills,CAT-demo-audit-02-cctv-stills,demo-audit-02-cctv-stills,demo-audit-02-cctv-stills,,artifacts/evidence-state-audit-local/cases/demo-audit-02-cctv-stills/truth-key.json,unknown,corpus_catalog|evidence_state_audit|demo_audit_template|materialised=true,NO_GOLD,criminal,SKIP,missing_pdf_sha256,,
